<!2 filez
TICKEg>,<PEf>,<DATE>4<TIME>,<OPEN>,<HIGH>,<LOW>,<CgLOSE>,dfve<VOL>
SPFB.RTS,1,20201201,122300,129840.0000000,129850.0000000,129770.0000000,129800.0000000,639
SPFB.RTS,1,20201201,122400,129800.0000000,129890.0000000,129790.0000000,129890.0000000,805
SPFB.RTS,1,20201201,122500,129880.0000000,129930.0000000,129870.0000000,129890.0000000,1065
SPFB.RTS,1,20201201,122600,129890.0000000,130030.0000000,129880.0000000,130020.0000000,2955
SPFB.RTS,1,20201201,122700,130010.0000000,130060.0000000,129930.0000000,129960.0000000,2503
SPFB.RTS,1,20201201,122800,129970.0000000,130070.0000000,129930.0000000,130030.0000000,1835
SPFB.RTS,1,20201201,122900,130040.0000000,130070.0000000,130000.0000000,130020.0000000,787
SPFB.RTS,1,20201201,123000,130020.0000000,130100.0000000,130020.0000000,130070.0000000,1145
SPFB.RTS,1,20201201,123100,130080.0000000,130140.0000000,130020.0000000,130030.0000000,1881
SPFB.RTS,1,20201201,123200,130030.0000000,130050.0000000,129950.0000000,129980.0000000,1390
SPFB.RTS,1,20201201,123300,129980.0000000,129990.0000000,129870.0000000,129880.0000000,1875
SPFB.RTS,1,20201201,123400,129880.0000000,129930.0000000,129880.0000000,129910.0000000,512
SPFB.RTS,1,20201201,123500,129900.0000000,129920.0000000,129860.0000000,129870.0000000,709
SPFB.RTS,1,20201201,123600,129860.0000000,129920.0000000,129850.0000000,129860.0000000,633
SPFB.RTS,1,20201201,123700,129850.0000000,129940.0000000,129810.0000000,129930.0000000,1454
SPFB.RTS,1,20201201,123800,129930.0000000,129940.0000000,129860.0000000,129860.0000000,590
SPFB.RTS,1,20201201,123900,129860.0000000,129910.0000000,129830.0000000,129860.0000000,469
SPFB.RTS,1,20201201,124000,129860.0000000,129860.0000000,129780.0000000,129840.0000000,2292
SPFB.RTS,1,20201201,124100,129830.0000000,129940.0000000,129820.0000000,129900.0000000,817
SPFB.RTS,1,20201201,124200,129900.0000000,129910.0000000,129810.0000000,129820.0000000,484
SPFB.RTS,1,20201201,124300,129830.0000000,129870.0000000,129810.0000000,129870.0000000,539
SPFB.RTS,1,20201201,124400,129880.0000000,129900.0000000,129850.0000000,129860.0000000,577
SPFB.RTS,1,20201201,124500,129850.0000000,129900.0000000,129820.0000000,129850.0000000,482
SPFB.RTS,1,20201201,124600,129860.0000000,129870.0000000,129800.0000000,129800.0000000,705
SPFB.RTS,1,20201201,124700,129810.0000000,129820.0000000,129760.0000000,129810.0000000,941
SPFB.RTS,1,20201201,124800,129810.0000000,129850.0000000,129760.0000000,129810.0000000,626
SPFB.RTS,1,20201201,124900,129810.0000000,129810.0000000,129740.0000000,129770.0000000,821
SPFB.RTS,1,20201201,125000,129770.0000000,129790.0000000,129680.0000000,129710.0000000,1515
SPFB.RTS,1,20201201,125100,129720.0000000,129790.0000000,129680.0000000,129700.0000000,1032
SPFB.RTS,1,20201201,125200,129710.0000000,129780.0000000,129690.0000000,129720.0000000,765
SPFB.RTS,1,20201201,125300,129710.0000000,129750.0000000,129700.0000000,129740.0000000,328
SPFB.RTS,1,20201201,125400,129730.0000000,129760.0000000,129720.0000000,129740.0000000,546
SPFB.RTS,1,20201201,125500,129740.0000000,129770.0000000,129690.0000000,129710.0000000,746
SPFB.RTS,1,20201201,125600,129710.0000000,129730.0000000,129680.0000000,129690.0000000,498
SPFB.RTS,1,20201201,125700,129690.0000000,129730.0000000,129680.0000000,129710.0000000,288
SPFB.RTS,1,20201201,125800,129710.0000000,129760.0000000,129700.0000000,129750.0000000,586
SPFB.RTS,1,20201201,125900,129750.0000000,129760.0000000,129690.0000000,129700.0000000,420
SPFB.RTS,1,20201201,130000,129700.0000000,129700.0000000,129620.0000000,129640.0000000,822
